analysis_timestamp,data_start_date,data_end_date,ticker,score,num_comments,comment_sentiment_avg,bullish_comments_ratio,bearish_comments_ratio,current_price,price_change_2w,price_change_2d,avg_volume,volume_change,sma_20,rsi,volatility,market_cap,pe_ratio,composite_score
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,BCS,10.0,0,0.0,0.0,0.0,13.48,2.04,1.89,10097018.0,-19.37,13.15,56.7,32.13,48578277376.0,12.838096,0.37954412624196376
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,ZM,10.0,0,0.0,0.0,0.0,82.69,1.91,-3.13,4320054.0,-25.14,81.7,51.76,47.01,25344073728.0,14.865058,0.37437171244886036
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,BBY,10.0,0,0.0,0.0,0.0,90.0,-2.87,2.08,3636836.0,-33.69,89.91,51.75,35.56,19325249536.0,13.535768,0.3381648158971362
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,CRWD,10.0,0,0.0,0.0,0.0,345.97,2.74,-0.47,3742877.0,-35.2,340.15,58.11,40.47,85615460352.0,78.61132,0.3278199883109293
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,IT,10.0,0,0.0,0.0,0.0,517.93,-0.94,-0.25,437990.0,-43.54,526.66,20.78,25.29,40050442240.0,39.274075,0.30195791934541205
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,RTX,10.0,0,0.0,0.0,0.0,121.83,2.78,1.24,5124718.0,-46.76,120.19,46.78,24.1,162158166016.0,19.981894,0.29161309175920513
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,SMCI,10.0,0,0.0,0.0,0.0,32.64,75.67,-6.93,112934922.0,-46.77,26.67,60.44,197.89,20535781376.0,8.705718,0.28644067796610173
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,LMT,10.0,0,0.0,0.0,0.0,529.41,-1.01,0.7,1260818.0,-47.8,542.66,29.48,22.47,125488693248.0,19.007204,0.2760958503798948
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,K,10.0,0,0.0,0.0,0.0,81.29,0.89,0.17,2105754.0,-49.95,80.91,57.75,3.63,28020498432.0,20.722813,0.25540619520748103
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,MRK,10.0,0,0.0,0.0,0.0,101.64,5.53,-1.44,12281140.0,-50.48,99.99,46.07,22.17,260856004608.0,10.734801,0.2502337814143776
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,BBWI,10.0,0,0.0,0.0,0.0,36.24,15.65,0.95,6652095.0,-51.14,31.84,81.31,70.18,7848931840.0,10.024176,0.24506136762127412
2024-11-30 12:25:39.139887,2024-10-31 12:25:39.139997,2024-11-30 12:25:39.140076,OKE,10.0,0,0.0,0.0,0.0,113.6,3.45,0.9,3632231.0,-53.09,108.38,64.48,32.44,66370912256.0,18.855085,0.21919929865575688
